,title,year,genre,country,avg_vote,budget,worlwide_gross_income
63511,The Comedian,2016,"Comedy, Drama, Romance",USA,5.7,15000000,1659002
63516,Teneramente folle,2014,"Comedy, Drama, Romance",USA,7.0,6700000,1824678
63539,The Best of Me - Il meglio di me,2014,"Drama, Romance",USA,6.7,26000000,38609668
63552,L'eccezione alla regola,2016,"Comedy, Drama, Romance",USA,5.7,25000000,3885342
63558,6 Bullets,2012,"Action, Crime, Drama",USA,6.1,10000000,99861
63599,Toy Story 4,2019,"Animation, Adventure, Comedy",USA,7.8,200000000,1073394593
63601,Il viaggio di Arlo,2015,"Animation, Adventure, Comedy",USA,6.7,200000000,332207671
63607,Pain & Gain - Muscoli e denaro,2013,"Action, Comedy, Crime",USA,6.4,26000000,87305549
63612,Tutto può cambiare,2013,"Comedy, Drama, Music",USA,7.4,8000000,63464861
63622,Thor: The Dark World,2013,"Action, Adventure, Fantasy",USA,6.9,170000000,644783140
63623,Geostorm,2017,"Action, Sci-Fi, Thriller",USA,5.3,120000000,221600160
63629,Voices,2012,"Comedy, Music, Romance",USA,7.2,17000000,115350426
63642,Atlas Shrugged II: The Strike,2012,"Drama, Mystery, Sci-Fi",USA,5.3,10000000,3336053
63652,Piovono polpette 2 - La rivincita degli avanzi,2013,"Animation, Adventure, Comedy",USA,6.4,78000000,274325949
63665,Alone Yet Not Alone,2013,"Action, Drama, History",USA,4.6,7000000,887851
63676,Sempre amici,2017,"Comedy, Drama",USA,6.9,37500000,125856180
63687,7 Below,2012,Horror,USA,3.1,6000000,85226
63704,Robot & Frank,2012,"Comedy, Crime, Drama",USA,7.1,2500000,4806423
63713,Chernobyl Diaries - La mutazione,2012,"Horror, Mystery, Thriller",USA,5.0,1000000,38390020
63729,Battlefield America,2012,"Drama, Musical",USA,2.7,15000000,252805
63763,Hell Fest,2018,"Horror, Thriller",USA,5.5,5500000,18159691
63782,Cattivi vicini,2014,Comedy,USA,6.3,18000000,270665134
63794,Il cacciatore di donne,2013,"Crime, Drama, Thriller",USA,6.4,27220000,5617460
63836,Ossessione omicida,2014,"Action, Crime, Drama",USA,5.6,13200000,54323210
63853,Repentance,2013,"Drama, Horror, Thriller",USA,4.9,5000000,1194961
63873,Guardiani della Galassia,2014,"Action, Adventure, Comedy",USA,8.0,170000000,772791156
63888,All Is Lost - Tutto è perduto,2013,"Action, Adventure, Drama",USA,6.9,9000000,13627519
63917,Io sono tu,2013,"Comedy, Crime, Drama",USA,5.7,35000000,173965010
63919,Incroci pericolosi,2013,"Comedy, Drama",USA,5.7,2000000,61669
63929,L'ultima tempesta,2016,"Action, Drama, History",USA,6.8,80000000,52099090
63947,USS Indianapolis,2016,"Action, Drama, History",USA,5.2,40000000,2158568
63955,Dimmi quando,2014,"Comedy, Drama, Romance",USA,6.4,5000000,2379154
63980,The Gambler,2014,"Crime, Drama, Thriller",USA,6.0,25000000,39280992
64053,No Tell Motel,2013,Horror,USA,3.5,3000000,466535
64075,Home Run,2013,"Drama, Sport",USA,5.9,1200000,2861020
64083,Effetti collaterali,2013,"Crime, Drama, Mystery",USA,7.1,30000000,63414135
64121,13 peccati,2014,"Horror, Thriller",USA,6.3,4000000,826913
64205,The Mule,2012,"Crime, Drama, Mystery",USA,4.2,5000000,19152
64248,Sleepless - Il giustiziere,2017,"Action, Crime, Thriller",USA,5.6,30000000,32917353
64315,Sleepwalk with Me,2012,Comedy,USA,6.8,1000000,2266067
64342,Hansel e Gretel e la strega della foresta nera,2013,"Comedy, Horror",USA,4.3,4500000,298688
